[21/04/2023 15:42:57] R:02007230000108c00000d00200 | S:423459473302007230000108c00000d00200
[21/04/2023 15:42:57] R:02007230000108c00000d00200 | S:363946564702007230000108c00000d00200
[21/04/2023 15:42:57] R:02007230000108c00000d00200 | S:454451564902007230000108c00000d00200
[21/04/2023 15:42:57] R:02007230000108c00000d00200 | S:465a34505402007230000108c00000d00200
[21/04/2023 15:42:58] R:02007230000108c00000d00200 | S:545a55565302007230000108c00000d00200
[21/04/2023 15:42:58] R:02007230000108c00000d00200 | S:425637454f02007230000108c00000d00200
[21/04/2023 15:42:58] R:02007230000108c00000d00200 | S:454e51414802007230000108c00000d00200
[21/04/2023 15:42:58] R:02007230000108c00000d00200 | S:565935393002007230000108c00000d00200
[21/04/2023 15:42:58] R:02007230000108c00000d00200 | S:553745305602007230000108c00000d00200
[21/04/2023 15:42:58] R:02007230000108c00000d00200 | S:553045565002007230000108c00000d00200
[21/04/2023 15:42:58] R:02007230000108c00000d00200 | S:4259504d5102007230000108c00000d00200
[21/04/2023 15:42:58] R:02007230000108c00000d00200 | S:314d49464702007230000108c00000d00200
[21/04/2023 15:42:58] R:02007230000108c00000d00200 | S:354e34535702007230000108c00000d00200
[21/04/2023 15:42:58] R:02007230000108c00000d00200 | S:434847384802007230000108c00000d00200
[21/04/2023 15:42:58] R:02007230000108c00000d00200 | S:4e4444374402007230000108c00000d00200
[21/04/2023 15:42:58] R:02007230000108c00000d00200 | S:575136533802007230000108c00000d00200
[21/04/2023 15:42:58] R:02007230000108c00000d00200 | S:564332504602007230000108c00000d00200
[21/04/2023 15:42:58] R:02007230000108c00000d00200 | S:474a5a4d4302007230000108c00000d00200
[21/04/2023 15:42:58] R:02007230000108c00000d00200 | S:583946495102007230000108c00000d00200
[21/04/2023 15:42:58] R:02007230000108c00000d00200 | S:5152514d4802007230000108c00000d00200
[21/04/2023 15:42:58] R:02007230000108c00000d00200 | S:334e47355002007230000108c00000d00200
[21/04/2023 15:42:58] R:02007230000108c00000d00200 | S:5836345a4202007230000108c00000d00200
[21/04/2023 15:42:58] R:02007230000108c00000d00200 | S:5a53564c5202007230000108c00000d00200
[21/04/2023 15:42:58] R:02007230000108c00000d00200 | S:573230424a02007230000108c00000d00200
[21/04/2023 15:42:58] R:02007230000108c00000d00200 | S:585838514a02007230000108c00000d00200
[21/04/2023 15:42:58] R:02007230000108c00000d00200 | S:30434c425102007230000108c00000d00200
[21/04/2023 15:42:58] R:02007230000108c00000d00200 | S:5955334b4702007230000108c00000d00200
[21/04/2023 15:42:58] R:02007230000108c00000d00200 | S:364858355202007230000108c00000d00200
[21/04/2023 15:42:58] R:02007230000108c00000d00200 | S:475454395302007230000108c00000d00200
[21/04/2023 15:42:58] R:02007230000108c00000d00200 | S:50514a314b02007230000108c00000d00200
[21/04/2023 15:42:58] R:02007230000108c00000d00200 | S:4f5752573102007230000108c00000d00200
[21/04/2023 15:42:58] R:02007230000108c00000d00200 | S:464839413602007230000108c00000d00200
[21/04/2023 15:42:58] R:02007230000108c00000d00200 | S:364f4f4f4102007230000108c00000d00200
[21/04/2023 15:42:58] R:02007230000108c00000d00200 | S:51334b445202007230000108c00000d00200
[21/04/2023 15:42:58] R:02007230000108c00000d00200 | S:595555494902007230000108c00000d00200
[21/04/2023 15:42:58] R:02007230000108c00000d00200 | S:483330345502007230000108c00000d00200
[21/04/2023 15:42:58] R:02007230000108c00000d00200 | S:575538313002007230000108c00000d00200
[21/04/2023 15:42:58] R:02007230000108c00000d00200 | S:324f31524102007230000108c00000d00200
[21/04/2023 15:42:58] R:02007230000108c00000d00200 | S:355755375902007230000108c00000d00200
[21/04/2023 15:42:58] R:02007230000108c00000d00200 | S:394755324802007230000108c00000d00200
[21/04/2023 15:42:58] R:02007230000108c00000d00200 | S:31424f473802007230000108c00000d00200
[21/04/2023 15:42:58] R:02007230000108c00000d00200 | S:4842544e5302007230000108c00000d00200
[21/04/2023 15:42:58] R:02007230000108c00000d00200 | S:4d4a4a4f3102007230000108c00000d00200
[21/04/2023 15:42:58] R:02007230000108c00000d00200 | S:4d4833315802007230000108c00000d00200
[21/04/2023 15:42:58] R:02007230000108c00000d00200 | S:344157484e02007230000108c00000d00200
[21/04/2023 15:42:58] R:02007230000108c00000d00200 | S:55454b325402007230000108c00000d00200
[21/04/2023 15:42:58] R:02007230000108c00000d00200 | S:335231415402007230000108c00000d00200
[21/04/2023 15:42:58] R:02007230000108c00000d00200 | S:314732563202007230000108c00000d00200
[21/04/2023 15:42:58] R:02007230000108c00000d00200 | S:4a4d32484202007230000108c00000d00200
[21/04/2023 15:42:58] R:02007230000108c00000d00200 | S:46394b525402007230000108c00000d00200
[21/04/2023 15:42:58] R:02007230000108c00000d00200 | S:4c5636385602007230000108c00000d00200
[21/04/2023 15:42:58] R:02007230000108c00000d00200 | S:5753324f5502007230000108c00000d00200
[21/04/2023 15:42:58] R:02007230000108c00000d00200 | S:344d334c3102007230000108c00000d00200
[21/04/2023 15:42:58] R:02007230000108c00000d00200 | S:494f57585602007230000108c00000d00200
[21/04/2023 15:42:58] R:02007230000108c00000d00200 | S:59444b4d4502007230000108c00000d00200
[21/04/2023 15:42:58] R:02007230000108c00000d00200 | S:4b3241314e02007230000108c00000d00200
[21/04/2023 15:42:58] R:02007230000108c00000d00200 | S:344e374c4702007230000108c00000d00200
[21/04/2023 15:42:58] R:02007230000108c00000d00200 | S:454d33524902007230000108c00000d00200
[21/04/2023 15:42:58] R:02007230000108c00000d00200 | S:33414a4a4702007230000108c00000d00200
[21/04/2023 15:42:58] R:02007230000108c00000d00200 | S:443350454e02007230000108c00000d00200
[21/04/2023 15:42:58] R:02007230000108c00000d00200 | S:4b4e46325502007230000108c00000d00200
[21/04/2023 15:42:58] R:02007230000108c00000d00200 | S:514356455202007230000108c00000d00200
[21/04/2023 15:42:58] R:02007230000108c00000d00200 | S:46444f414702007230000108c00000d00200
[21/04/2023 15:42:58] R:02007230000108c00000d00200 | S:4e4f34544202007230000108c00000d00200
[21/04/2023 15:42:58] R:02007230000108c00000d00200 | S:584d31384f02007230000108c00000d00200
[21/04/2023 15:42:58] R:02007230000108c00000d00200 | S:395735304402007230000108c00000d00200
[21/04/2023 15:42:58] R:02007230000108c00000d00200 | S:355946364202007230000108c00000d00200
[21/04/2023 15:42:58] R:02007230000108c00000d00200 | S:585158474a02007230000108c00000d00200
[21/04/2023 15:42:58] R:02007230000108c00000d00200 | S:58354d313702007230000108c00000d00200
[21/04/2023 15:42:58] R:02007230000108c00000d00200 | S:314850364102007230000108c00000d00200
